old_class,family,used_in_html,exact_match,suggested_new_class,confidence,source,alternatives
"abundance-accordion--sm","editorial/accordion","yes","yes","abundance-accordion--sm","1","exact",""
"abundance-action-text","type/colour","yes","yes","abundance-action-text","1","exact",""
"abundance-bar-chart","data/tables","yes","yes","abundance-bar-chart","1","exact",""
"abundance-bar-chart--compact","data/tables","yes","yes","abundance-bar-chart--compact","1","exact",""
"abundance-bar-chart__fill","data/tables","yes","no","abundance-bar-chart__bar-fill","0.9","manual",""
"abundance-bar-chart__label","data/tables","yes","yes","abundance-bar-chart__label","1","exact",""
"abundance-bar-chart__row","data/tables","yes","yes","abundance-bar-chart__row","1","exact",""
"abundance-bar-chart__track","data/tables","yes","no","abundance-bar-chart__bar","0.9","manual",""
"abundance-body-compact","type/colour","yes","yes","abundance-body-compact","1","exact",""
"abundance-boxout","cards/panels","yes","no","","0","similarity",""
"abundance-boxout--compact","cards/panels","yes","no","","0","similarity",""
"abundance-boxout--teal","cards/panels","yes","no","","0","similarity",""
"abundance-boxout--yellow","cards/panels","yes","no","","0","similarity",""
"abundance-btn-white","buttons/links","yes","no","","0","similarity",""
"abundance-buy-invest-item","buy-flow","yes","no","abundance-stepped-progress","0.059","similarity","abundance-stepped-progress__step (0.033)"
"abundance-buy-invest-item__amount","buy-flow","yes","no","","0","similarity",""
"abundance-buy-invest-item__amount-grid","buy-flow","yes","no","abundance-stepped-progress","0.143","similarity","abundance-stepped-progress__step (0.050)"
"abundance-buy-invest-item__main","buy-flow","yes","no","","0","similarity",""
"abundance-buy-invest-list","buy-flow","yes","no","","0","similarity",""
"abundance-buy-step","buy-flow","yes","no","","0","similarity",""
"abundance-card-blob-num","cards/panels","yes","no","","0","similarity",""
"abundance-card-copy","type/colour","yes","no","abundance-body-compact","0.111","similarity","body--lg (0.100) | body--md (0.100) | body--sm (0.100) | body--xl (0.100)"
"abundance-card-soft","cards/panels","yes","no","abundance-card--soft","0.9","manual",""
"abundance-card-soft-bordered","cards/panels","yes","no","abundance-card--soft-bordered","0.9","manual",""
"abundance-chip-link","buttons/links","yes","no","si-btn-group","0.053","similarity","si-btn (0.039) | si-btn-with-icon (0.038) | si-btn-back (0.022)"
"abundance-colour-card","cards/panels","no","no","abundance-card--color-card","0.9","manual",""
"abundance-colour-card-green","cards/panels","yes","no","abundance-card--color-green","0.9","manual",""
"abundance-colour-card-neutral","cards/panels","yes","no","abundance-card--color-neutral","0.9","manual",""
"abundance-colour-card-pink","cards/panels","yes","no","abundance-card--color-pink","0.9","manual",""
"abundance-colour-card-pink-light","cards/panels","yes","no","abundance-card--color-pink-light","0.9","manual",""
"abundance-colour-card-teal","cards/panels","yes","no","abundance-card--color-teal","0.9","manual",""
"abundance-colour-card-teal-light","cards/panels","yes","no","abundance-card--color-teal-light","0.9","manual",""
"abundance-colour-card-yellow","cards/panels","yes","no","abundance-card--color-yellow","0.9","manual",""
"abundance-ed-band","editorial/accordion","yes","no","abundance-dividers","0.9","manual",""
"abundance-ed-band--loose","editorial/accordion","yes","no","abundance-dividers","0.9","manual",""
"abundance-ed-band--tight","editorial/accordion","yes","no","abundance-dividers","0.9","manual",""
"abundance-ed-figure","media/masks","yes","no","","0","similarity",""
"abundance-ed-note","editorial/accordion","yes","no","abundance-note","0.9","manual",""
"abundance-ed-quote","editorial/accordion","yes","no","abundance-quote","0.9","manual",""
"abundance-eyebrow","type/colour","yes","yes","abundance-eyebrow","1","exact",""
"abundance-field-white","forms","yes","no","si-form-row","0.087","similarity","si-form (0.083) | si-input-group (0.083) | si-form-hidden (0.080) | si-input-group-text (0.063)"
"abundance-field-white--select","forms","yes","no","si-form-password-button","0.1","similarity","si-input-button (0.071) | si-input-prefix (0.053) | si-form-hidden (0.043) | si-input-help-block (0.029)"
"abundance-field-white__prefix","forms","yes","no","","0","similarity",""
"abundance-heading-display","type/colour","yes","yes","abundance-heading-display","1","exact",""
"abundance-hero-art-nudge","other","yes","no","","0","similarity",""
"abundance-inline-disclaimer","editorial/accordion","yes","no","abundance-disclaimer","0.9","manual",""
"abundance-link-card","buttons/links","yes","no","si-btn--block","0.053","similarity","si-btn-group (0.045) | si-btn-with-icon (0.034) | si-btn-back (0.020) | si-btn (0.018)"
"abundance-media-frame","media/masks","yes","no","","0","similarity",""
"abundance-media-frame--case-square","media/masks","yes","no","","0","similarity",""
"abundance-media-frame--editorial","media/masks","yes","no","","0","similarity",""
