group,reference_class,candidate_class,status,issue,context,property,expected,actual
"type","body--xs","body--xs","exact","none","","","",""
"type","body--sm","body--sm","differs","missing","@media(max-width:767px)","line-height","1.45",""
"type","body--sm","body--sm","differs","mismatch","base","letter-spacing",".006em","normal"
"type","body--md","body--md","differs","mismatch","base","letter-spacing",".005em","normal"
"type","body--lg","body--lg","differs","mismatch","base","line-height","1.55","1.5"
"type","body--lg","body--lg","differs","mismatch","base","letter-spacing",".004em","normal"
"type","body--xl","body--xl","differs","mismatch","base","letter-spacing",".002em","normal"
"type","si-heading-1","si-heading-1","differs","missing","base","letter-spacing","-.03em",""
"type","si-heading-1","si-heading-1","differs","missing","@media(max-width:767px)","line-height",".94",""
"type","si-heading-1","si-heading-1","differs","mismatch","base","font-weight","600","700"
"type","si-heading-2","si-heading-2","differs","missing","base","letter-spacing","-.03em",""
"type","si-heading-2","si-heading-2","differs","missing","@media(max-width:767px)","line-height",".96",""
"type","si-heading-2","si-heading-2","differs","mismatch","base","font-weight","600","700"
"type","si-heading-3","si-heading-3","differs","missing","base","letter-spacing","-.03em",""
"type","si-heading-3","si-heading-3","differs","mismatch","base","font-weight","600","700"
"type","si-heading-4","si-heading-4","differs","missing","base","letter-spacing","-.03em",""
"type","si-heading-4","si-heading-4","differs","mismatch","base","font-weight","600","700"
"type","si-heading-5","si-heading-5","differs","missing","base","letter-spacing","-.03em",""
"type","si-heading-5","si-heading-5","differs","mismatch","base","font-weight","600","700"
"type","si-heading-6","si-heading-6","differs","missing","base","letter-spacing","-.03em",""
"type","si-heading-6","si-heading-6","differs","mismatch","base","font-weight","600","700"
"type","label--xs","label--xs","differs","mismatch","base","line-height","1.2","1"
"type","label--xs","label--xs","differs","mismatch","base","color","#363635","#4d4a46"
"type","label--sm","label--sm","differs","mismatch","base","line-height","1.2","1"
"type","label--sm","label--sm","differs","mismatch","base","color","#363635","#4d4a46"
"type","label--md","label--md","differs","mismatch","base","line-height","1.2","1"
"type","label--md","label--md","differs","mismatch","base","color","#363635","#4d4a46"
"type","label--lg","label--lg","differs","mismatch","base","line-height","1.2","1"
"type","label--lg","label--lg","differs","mismatch","base","color","#363635","#4d4a46"
"type","label--lg","label--lg","differs","mismatch","base","font-size","1.125rem","1.25rem"
"type","abundance-eyebrow","abundance-eyebrow","exact","none","","","",""
"type","abundance-body-compact","abundance-body-compact","exact","none","","","",""
"type","abundance-action-text","abundance-action-text","exact","none","","","",""
"type","abundance-stat","abundance-stat","differs","mismatch","base","font-weight","600","700"
"type","abundance-heading-display","abundance-heading-display","differs","mismatch","base","font-weight","600","700"
"cards","abundance-card-copy","abundance-card-copy","candidate-missing","missing","base","font-family","""sohne buch"",system-ui,-apple-system,blinkmacsystemfont,""avenir next"",avenir,""helvetica neue"",helvetica,ubuntu,roboto,noto,""segoe ui"",arial,sans-serif",""
"cards","abundance-card-copy","abundance-card-copy","candidate-missing","missing","base","font-size","1.05rem",""
"cards","abundance-card-copy","abundance-card-copy","candidate-missing","missing","base","line-height","1.55",""
